uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0110786V;2;LAURE-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE DES CAPITELLES;3.0;43.26997112339227;2.5215306017234345;primaire;des capitelles;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE DES CAPITELLES;11198;LAURE MINERVOIS;public;98.6
0300321L;2;CAVILLARGUES;ECOLE PRIMAIRE PUBLIQUE;4.0;44.11398119452192;4.519903583975044;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30076;CAVILLARGUES;public;102.7
0300368M;2;FONS;ECOLE ELEMENTAIRE PUBLIQUE;4.0;43.90836632518895;4.193970110829808;elementaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE;30112;FONS;public;109.8
0300428C;2;SAINT-MICHEL-D'EUZET;ECOLE PRIMAIRE PUBLIQUE;4.0;44.19884574343938;4.547390001448491;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30287;SAINT MICHEL D EUZET;public;107.4
0300433H;2;SAINT-PAULET-DE-CAISSON;ECOLE PRIMAIRE PUBLIQUE;9.0;44.26163442427451;4.59684979439586;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30290;SAINT PAULET DE CAISSON;public;111.1
0301219M;2;ALES;ECOLE ELEMENTAIRE PUBLIQUE MARIE CURIE;5.0;44.124293150509786;4.0907004626739;elementaire;marie curie;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE MARIE CURIE;30007;ALES;public;89.7
0300601R;2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;5.0;43.83714045286442;4.350070093998072;elementaire;jean jaures;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JEAN JAURES;30189;NIMES;public;92.1
0301603E;2;AIMARGUES;ECOLE ELEMENTAIRE PUBLIQUE FANFONNE GUILLIERME;12.0;43.685048762905176;4.211659490825344;elementaire;fanfonne guillierme;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE FANFONNE GUILLIERME;30006;AIMARGUES;public;102.8
0301021X;2;COLLIAS;ECOLE PRIMAIRE PUBLIQUE GROUPE SCOLAIRE DES TILLEULS;3.0;43.953921193860765;4.476496572375287;primaire;groupe scolaire des tilleuls;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30085;COLLIAS;public;119.5
0301677K;2;ALES;ECOLE ELEMENTAIRE PUBLIQUE ROMAIN ROLLAND;10.0;44.13662491657487;4.090989497414049;elementaire;romain rolland;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE ROMAIN ROLLAND;30007;ALES;public;69.5
